well,x_m,y_m,distance_m,azimuth_deg,n_points,time_min_h,time_max_h,drawdown_min_m,drawdown_max_m
MW-08,38.578431372549005,56.50056200824278,5.843416890268858,266.63353933657015,43,0.1922193487680795,8.295479382960114,0.6914056951381791,2.0456431997200357
MW-10,38.578431372549,64.04958161608592,9.271058098308242,321.0090059574945,47,0.1641209620762556,9.053060668132408,0.0068851532459562,0.9948532228939772
MW-11,32.05882352941174,56.50056200824278,12.357706052704295,268.4088597288054,39,0.17956502027397372,8.296348815471367,0.2022687498663643,1.6568617979235165
MW-06,42.74509803921568,39.88291494941927,17.042475827018023,185.61220322932485,27,0.294980189083456,8.772279083080312,0.0073161407556857,0.3233646292915562
MW-05,40.73529411764705,39.88291494941927,17.354672008507535,192.2303948891566,28,0.23359259227471435,8.190196657281495,0.0040996105049567,0.2910736505780223
MW-07,45.68627450980392,39.39271887098791,17.497459583829144,175.8228930310977,35,1.965739497582156,11.394654896348007,0.0040885262398682,0.1320305887078479
MW-12,29.55882352941176,66.54958161608592,17.74299900921008,303.1632246321373,44,0.10905593232203617,8.646660712607542,0.0576664006330145,1.2724366222776378
MW-04,39.65686274509802,37.38291494941925,20.03325282529062,193.73021550831643,29,0.20366648387147895,8.535131747861813,0.0021224214255649,0.276126936254489
MW-03,44.31372549019605,36.74566004745849,20.098278334302037,180.27948939054477,31,0.24801426548186775,9.658687203309212,0.0019954037586295,0.2834275388731264
MW-02,41.47058823529411,30.324091420007488,26.68220604044817,186.32856752624525,32,0.25030234957013753,8.772853699869126,0.001909677097608,0.2834820012803632
MW-01,48.18627450980389,28.55938553765455,28.53505435743645,172.39885239945636,35,0.4860936329079513,12.540458023504689,0.0049685251186085,0.2833780366735856
MW-13,9.558823529411764,67.92213063569376,36.57128860632061,287.63349167873656,30,0.16578921138692648,8.418752559624917,0.0010154070025281,0.2689486080088942
