case,well,scheme,best_pathway,theis_T_m2s,single_best_T_m2s,bma_T_q05_m2s,bma_T_q50_m2s,bma_T_q95_m2s,single_best_response_time_h,theis_response_time_h,bma_response_time_q05_h,bma_response_time_q50_h,bma_response_time_q95_h,bma_diffusivity_q05_m2s,bma_diffusivity_q50_m2s,bma_diffusivity_q95_m2s,robust_capacity_factor,theis_capacity_factor,capacity_violation_probability,capacity_regret_factor,early_response_factor,theis_early_response_factor,early_response_probability,early_response_regret_factor,diffusivity_spread_ratio,transmissivity_spread_ratio,response_time_spread_ratio
Massachusetts,MW-01,strict_bic,Theis confined,5.586070765287927e-05,5.586070765287927e-05,4.78769120732616e-05,5.2337462781763286e-05,5.5860707655312594e-05,1.2449663606502397,1.2449663606502397,1.2449663599206051,1.2449663602238485,1.2449663606077654,0.03712468693640479,0.04175870823043672,0.04541897192912935,1.0000000000435605,1.0000000000435605,0.14455954082522846,9.626775156585036e-12,1.0000000005860676,1.0000000005860676,0.14455954082522846,8.472166876664734e-11,1.223416967985018,1.166756694120835,1.000000000551951
Massachusetts,MW-01,variance_window,Theis confined,5.586070765287927e-05,5.586070765287927e-05,4.7300327406449504e-05,5.182640239358232e-05,5.586070765601612e-05,1.2449663606502397,1.2449663606502397,1.2449663599206051,1.2449663602678354,1.5456432567288174,0.036571192483767015,0.04122777273028581,0.04541897193416352,1.0000000000561549,1.0000000000561549,0.31896700004530965,2.124123786142216e-11,1.0000000005860676,1.0000000005860676,0.31896700004530965,1.8693623659195932e-10,1.2419330311507835,1.1809793022362756,1.2415140733821814
Massachusetts,MW-02,strict_bic,Lagging Darcy with leakage,6.265228934464142e-05,4.036773290306607e-05,3.905574957938114e-05,3.940448385039926e-05,4.027140799779939e-05,1.6527004003050312,1.0053312479309486,1.0528650335281289,1.4806264474622544,1.7287055384095356,0.028367755125744847,0.028778983917041197,0.029801264200077844,1.0,1.0,4.402205895415566e-17,2.4301840714939915e-17,1.5697172454923938,1.0,4.402205895415566e-17,2.8347344723653734e-17,1.0505330459875561,1.0311262344599843,1.6419061165101847
Massachusetts,MW-02,variance_window,Lagging Darcy with leakage,6.265228934464142e-05,4.036773290306607e-05,3.905574957938114e-05,3.961449833714442e-05,6.265219715025577e-05,1.6527004003050312,1.0053312479309486,1.0053312479309486,1.3770002028061605,1.7299149423666562,0.028367755125744847,0.029026633806129534,0.0491780286319748,1.5520365560459084,1.0,0.2962270263425807,0.16352782231315752,1.6439361690054095,1.0,0.2962270263425807,0.190750171269568,1.7335890137934749,1.6041734654948727,1.7207412441689824
Massachusetts,MW-03,strict_bic,Lagging Darcy with leakage,6.623275040910393e-05,4.235142699787101e-05,4.072568778870733e-05,4.100400841271082e-05,4.2216685139358e-05,1.6634904216563002,0.9888885687161469,1.0447998162945549,1.5480010445127177,1.7415936290630252,0.0160032722549741,0.016150455014916562,0.01679174815725907,1.0,1.0,1.2412082653722626e-12,6.999011588350029e-13,1.5921618626963092,1.0,1.2412082653722626e-12,8.467330090513084e-13,1.0492696674606592,1.0366107346887854,1.6669160942616656
Massachusetts,MW-03,variance_window,Lagging Darcy with leakage,6.623275040910393e-05,4.235142699787101e-05,4.072568778870733e-05,4.141645360877127e-05,6.623315452546226e-05,1.6634904216563002,0.9888885687161469,0.9888785031542369,1.3768565633251262,1.7400730144202345,0.0160032722549741,0.016368566132260228,0.028366826454800237,1.5638942822113593,1.0000061014582038,0.2963357408349595,0.1671013085147509,1.68219899244472,1.000010178765013,0.2963357408349595,0.20215733883057596,1.7725641358118698,1.6263237804378543,1.7596428771278818
Massachusetts,MW-04,strict_bic,Lagging Darcy no-leakage,6.49504592964171e-05,3.413870430101295e-05,3.413870430101295e-05,3.413870430101295e-05,3.4683846313145195e-05,2.098003690691941,1.0359436200594898,1.386870325750456,2.049944217984307,2.0931977434211775,0.013284163249468857,0.013284163249468857,0.013633988326696886,1.015968444710893,1.0,0.13953816717470907,0.0034724855633459645,1.5127612522509486,1.0,0.13953816717470907,0.005726569871578178,1.0263339941446457,1.015968444710893,1.5092959338419165
Massachusetts,MW-04,variance_window,Lagging Darcy no-leakage,6.49504592964171e-05,3.413870430101295e-05,3.413870430101295e-05,3.4480742262040306e-05,6.49525754042892e-05,2.098003690691941,1.0359436200594898,1.0358913091856206,1.6210038210470539,2.086607344929013,0.013284163249468857,0.013503653682178872,0.026904110800904206,1.902608102275339,1.0000325803373067,0.6371350709176569,0.2761097141885695,2.0253125710083557,1.0000504984194822,0.6371350709176569,0.3179850008750203,2.0252770382041128,1.902608102275339,2.0143110830512
Massachusetts,MW-05,strict_bic,Lagging Darcy no-leakage,7.801302842783104e-05,4.155667695892961e-05,4.03138926577913e-05,4.087757029529123e-05,4.148876629256577e-05,1.4791940653237852,0.6737054901766798,0.7177229594310868,1.113857554834763,1.497723386438374,0.013722305761116346,0.013911692724780118,0.014117045122013169,1.0,1.0,3.48388639183966e-22,3.0562997041989e-22,2.0609540852591497,1.0,3.48388639183966e-22,4.165362564897324e-22,1.0287662560336879,1.0291431453853268,2.086770900607061
Massachusetts,MW-05,variance_window,Lagging Darcy no-leakage,7.801302842783104e-05,4.155667695892961e-05,4.03138926577913e-05,4.085171697391967e-05,7.801295196224189e-05,1.4791940653237852,0.6737054901766798,0.6737054901766798,1.130613873670345,1.517672344200049,0.013722305761116346,0.01390300640886221,0.031045574619047667,1.8772663665899454,1.0,0.29621602881784004,0.2598600972891971,2.1956093380445294,1.0,0.29621602881784004,0.35415745436624835,2.262416765775523,1.9351381575692281,2.2527237291802953
